Image ID,RGB,Hue,SortColor,geometry,centroid,latitude,longitude,ZipCode,LandUse,OwnerType,YearBuilt,YearBin,SVI_ID,SortYear
44,"(114, 121, 127)",147,143,"POLYGON ((-73.96277937183835 40.80853042056235, -73.96277937183835 40.80924959388684, -73.96349854516284 40.80924959388684, -73.96349854516284 40.80853042056235, -73.96277937183835 40.80853042056235))",POINT (-73.9631389585006 40.80889000722459),40.80889000722459,-73.9631389585006,10027,8.0,X,1901,1,44,60
279,"(105, 98, 90)",22,49,"POLYGON ((-73.95414929194455 40.812845460509294, -73.95414929194455 40.813564633833785, -73.95486846526903 40.813564633833785, -73.95486846526903 40.812845460509294, -73.95414929194455 40.812845460509294))",POINT (-73.95450887860677 40.813205047171536),40.813205047171536,-73.95450887860677,10027,2.0,,1901,1,279,61
89,"(86, 91, 93)",139,21,"POLYGON ((-73.9606218518649 40.80853042056235, -73.9606218518649 40.80924959388684, -73.96134102518938 40.80924959388684, -73.96134102518938 40.80853042056235, -73.9606218518649 40.80853042056235))",POINT (-73.96098143852716 40.80889000722459),40.80889000722459,-73.96098143852716,10027,8.0,X,1901,1,89,62
275,"(163, 154, 143)",23,529,"POLYGON ((-73.95414929194455 40.80996876721133, -73.95414929194455 40.81068794053582, -73.95486846526903 40.81068794053582, -73.95486846526903 40.80996876721133, -73.95414929194455 40.80996876721133))",POINT (-73.95450887860677 40.81032835387357),40.81032835387357,-73.95450887860677,10027,2.0,,1901,1,275,63
345,"(149, 142, 141)",5,403,"POLYGON ((-73.9519917719711 40.81140711386031, -73.9519917719711 40.8121262871848, -73.95271094529558 40.8121262871848, -73.95271094529558 40.81140711386031, -73.9519917719711 40.81140711386031))",POINT (-73.95235135863334 40.81176670052255),40.81176670052255,-73.95235135863334,10027,2.0,,1901,1,345,64
88,"(127, 117, 104)",24,511,"POLYGON ((-73.9606218518649 40.80781124723786, -73.9606218518649 40.80853042056235, -73.96134102518938 40.80853042056235, -73.96134102518938 40.80781124723786, -73.9606218518649 40.80781124723786))",POINT (-73.96098143852716 40.808170833900114),40.808170833900114,-73.96098143852716,10027,8.0,X,1901,1,88,65
239,"(92, 101, 105)",140,283,"POLYGON ((-73.95558763859351 40.8121262871848, -73.95558763859351 40.812845460509294, -73.956306811918 40.812845460509294, -73.956306811918 40.8121262871848, -73.95558763859351 40.8121262871848))",POINT (-73.95594722525576 40.81248587384705),40.81248587384705,-73.95594722525576,10027,4.0,X,1901,1,239,66
45,"(79, 82, 70)",53,583,"POLYGON ((-73.96277937183835 40.80924959388684, -73.96277937183835 40.80996876721133, -73.96349854516284 40.80996876721133, -73.96349854516284 40.80924959388684, -73.96277937183835 40.80924959388684))",POINT (-73.9631389585006 40.80960918054909),40.80960918054909,-73.9631389585006,10027,8.0,X,1901,1,45,67
115,"(97, 94, 90)",24,31,"POLYGON ((-73.95990267854042 40.813564633833785, -73.95990267854042 40.814283807158276, -73.9606218518649 40.814283807158276, -73.9606218518649 40.813564633833785, -73.95990267854042 40.813564633833785))",POINT (-73.96026226520264 40.813924220496034),40.813924220496034,-73.96026226520264,10027,4.0,,1901,1,115,68
131,"(117, 123, 126)",141,144,"POLYGON ((-73.95918350521593 40.80924959388684, -73.95918350521593 40.80996876721133, -73.95990267854042 40.80996876721133, -73.95990267854042 40.80924959388684, -73.95918350521593 40.80924959388684))",POINT (-73.95954309187817 40.80960918054909),40.80960918054909,-73.95954309187817,10027,3.0,X,1901,1,131,69
57,"(109, 112, 103)",56,94,"POLYGON ((-73.96206019851387 40.80853042056235, -73.96206019851387 40.80924959388684, -73.96277937183835 40.80924959388684, -73.96277937183835 40.80853042056235, -73.96206019851387 40.80853042056235))",POINT (-73.96241978517611 40.80889000722459),40.80889000722459,-73.96241978517611,10027,8.0,X,1901,1,57,70
321,"(169, 163, 157)",21,531,"POLYGON ((-73.95271094529558 40.81140711386031, -73.95271094529558 40.8121262871848, -73.95343011862006 40.8121262871848, -73.95343011862006 40.81140711386031, -73.95271094529558 40.81140711386031))",POINT (-73.95307053195782 40.81176670052255),40.81176670052255,-73.95307053195782,10027,2.0,,1901,1,321,71
570,"(120, 113, 114)",248,313,"POLYGON ((-73.94408086540177 40.82291388705217, -73.94408086540177 40.82363306037666, -73.94480003872626 40.82363306037666, -73.94480003872626 40.82291388705217, -73.94408086540177 40.82291388705217))",POINT (-73.94444045206401 40.823273473714416),40.823273473714416,-73.94444045206401,10030,2.0,,1901,1,570,72
206,"(103, 105, 92)",49,293,"POLYGON ((-73.95702598524248 40.81644132713175, -73.95702598524248 40.81716050045624, -73.95774515856696 40.81716050045624, -73.95774515856696 40.81644132713175, -73.95702598524248 40.81644132713175))",POINT (-73.95738557190472 40.816800913794),40.816800913794,-73.95738557190472,10027,4.0,,1901,1,206,73
134,"(116, 124, 133)",150,265,"POLYGON ((-73.95918350521593 40.81140711386031, -73.95918350521593 40.8121262871848, -73.95990267854042 40.8121262871848, -73.95990267854042 40.81140711386031, -73.95918350521593 40.81140711386031))",POINT (-73.95954309187817 40.81176670052255),40.81176670052255,-73.95954309187817,10027,2.0,,1901,1,134,74
438,"(107, 99, 109)",204,297,"POLYGON ((-73.94983425199764 40.8279481003236, -73.94983425199764 40.828667273648094, -73.95055342532213 40.828667273648094, -73.95055342532213 40.8279481003236, -73.94983425199764 40.8279481003236))",POINT (-73.95019383865989 40.828307686985845),40.828307686985845,-73.95019383865989,10031,1.0,,1901,1,438,75
183,"(119, 123, 129)",153,263,"POLYGON ((-73.95774515856696 40.81500298048277, -73.95774515856696 40.81572215380726, -73.95846433189145 40.81572215380726, -73.95846433189145 40.81500298048277, -73.95774515856696 40.81500298048277))",POINT (-73.9581047452292 40.815362567145016),40.815362567145016,-73.9581047452292,10027,4.0,,1901,1,183,76
228,"(121, 120, 116)",34,155,"POLYGON ((-73.956306811918 40.81787967378073, -73.956306811918 40.81859884710522, -73.95702598524248 40.81859884710522, -73.95702598524248 40.81787967378073, -73.956306811918 40.81787967378073))",POINT (-73.95666639858024 40.81823926044298),40.81823926044298,-73.95666639858024,10027,4.0,,1901,1,228,77
43,"(152, 130, 125)",7,560,"POLYGON ((-73.96277937183835 40.80781124723786, -73.96277937183835 40.80853042056235, -73.96349854516284 40.80853042056235, -73.96349854516284 40.80781124723786, -73.96277937183835 40.80781124723786))",POINT (-73.9631389585006 40.808170833900114),40.808170833900114,-73.9631389585006,10027,8.0,X,1901,1,43,78
33,"(118, 118, 104)",42,509,"POLYGON ((-73.96349854516284 40.80853042056235, -73.96349854516284 40.80924959388684, -73.96421771848732 40.80924959388684, -73.96421771848732 40.80853042056235, -73.96349854516284 40.80853042056235))",POINT (-73.96385813182508 40.80889000722459),40.80889000722459,-73.96385813182508,10027,8.0,X,1901,1,33,79
351,"(143, 143, 141)",42,365,"POLYGON ((-73.9519917719711 40.81572215380726, -73.9519917719711 40.81644132713175, -73.95271094529558 40.81644132713175, -73.95271094529558 40.81572215380726, -73.9519917719711 40.81572215380726))",POINT (-73.95235135863334 40.8160817404695),40.8160817404695,-73.95235135863334,10027,2.0,,1901,1,351,80
393,"(226, 225, 221)",34,613,"POLYGON ((-73.95127259864661 40.8279481003236, -73.95127259864661 40.828667273648094, -73.9519917719711 40.828667273648094, -73.9519917719711 40.8279481003236, -73.95127259864661 40.8279481003236))",POINT (-73.95163218530885 40.828307686985845),40.828307686985845,-73.95163218530885,10031,2.0,,1901,1,393,81
184,"(121, 123, 121)",85,210,"POLYGON ((-73.95774515856696 40.81572215380726, -73.95774515856696 40.81644132713175, -73.95846433189145 40.81644132713175, -73.95846433189145 40.81572215380726, -73.95774515856696 40.81572215380726))",POINT (-73.9581047452292 40.8160817404695),40.8160817404695,-73.9581047452292,10027,4.0,,1901,1,184,82
